0,7
0,0
0,0
0,17
0,3
0,1
0,1
0,0
0,0
0,7
0,1
0,1
0,3
0,7
0,4
0,31
0,2
0,2
0,1
0,3
0,2
0,6
0,3
0,0
0,7
0,8
0,0
0,3
0,2
0,0
0,9
0,10
0,2
0,7
0,0
0,0
0,12
0,0
0,0
0,2
0,6
0,1
0,1
0,3
0,0
0,8
0,8
0,2
0,0
0,0
0,1
0,0
0,6
0,1
0,7
0,0
0,1
0,12
0,9
0,9
0,10
0,12
0,7
0,7
0,2
0,1
0,0
0,4
0,7
0,4
0,6
0,1
0,7
0,1
0,0
0,3
0,7
0,12
0,8
0,1
0,1
0,0
0,9
0,12
0,10
0,3
0,7
0,2
0,7
0,32
0,6
0,20
0,4
0,15
0,2
0,7
0,2
0,1
0,1
0,9
0,8
0,10
0,1
0,1
0,0
0,9
0,7
0,7
0,0
0,2
0,7
0,10
0,0
0,7
0,1
0,2
0,14
0,7
0,8
0,1
0,9
0,15
0,1
0,3
0,10
0,0
0,2
0,3
0,8
0,7
0,0
0,6
0,6
0,0
0,3
0,7
0,12
0,15
0,10
0,12
0,2
0,4
0,2
0,3
0,1
0,3
0,1
0,3
0,2
0,6
0,1
0,1
0,1
0,0
0,3
0,2
0,1
0,10
0,7
0,0
0,7
0,7
0,8
0,10
0,7
0,15
0,3
0,2
0,10
0,7
0,1
0,1
0,6
0,7
0,3
0,7
0,3
0,0
0,0
0,2
0,3
0,1
0,1
0,12
0,2
0,2
0,2
0,9
0,7
0,2
0,1
0,7
0,10
0,8
0,6
0,0
0,3
0,2
0,2
0,8
0,3
0,3
0,2
0,2
0,3
0,7
0,10
0,1
0,0
0,8
0,6
0,0
0,2
0,6
0,4
0,6
0,0
0,3
0,3
0,3
0,3
0,1
0,0
0,1
0,1
0,7
0,3
0,0
0,3
0,1
0,33
0,15
0,0
0,3
0,3
0,2
0,2
0,7
0,8
0,2
0,7
0,2
0,1
0,7
0,2
0,10
0,7
0,4
0,1
0,0
0,10
0,3
0,3
0,7
0,7
0,22
0,6
0,1
0,2
0,7
0,7
0,0
0,0
0,7
0,12
0,7
0,13
0,0
0,17
0,2
0,1
0,1
0,1
0,11
0,3
0,0
0,0
0,17
0,3
0,4
0,3
0,4
0,20
0,1
0,12
0,1
0,0
0,6
0,0
0,2
0,3
0,0
0,10
0,7
0,3
0,3
0,9
0,7
0,3
0,12
0,0
0,0
0,6
0,7
0,6
0,0
0,1
0,3
0,10
0,0
0,7
0,1
0,1
0,3
0,3
0,2
0,1
0,2
0,3
0,1
0,9
0,0
0,2
0,3
0,4
0,3
0,1
0,8
0,3
0,0
0,1
0,7
0,8
0,7
0,9
0,2
0,8
0,2
0,2
0,1
0,7
0,3
0,3
0,2
0,2
0,3
0,0
0,3
0,6
0,12
0,2
0,3
0,3
0,3
0,2
0,1
0,9
0,2
0,3
0,7
0,2
0,8
0,8
0,2
0,2
0,8
0,12
0,2
0,9
0,3
0,0
0,13
0,2
0,1
0,7
0,9
0,10
0,13
0,3
0,11
0,12
0,4
0,2
0,3
0,7
0,2
0,1
0,0
0,7
0,8
0,15
0,3
0,8
0,3
0,7
0,2
0,1
0,7
0,9
0,10
0,3
0,7
0,10
0,3
0,17
0,0
0,7
0,8
0,7
0,1
0,15
0,3
0,3
0,8
0,7
0,7
0,0
0,4
0,11
0,3
0,7
0,0
0,6
0,7
0,10
0,3
0,4
0,0
0,1
0,3
0,3
0,10
0,7
0,3
0,1
0,0
0,1
0,3
0,6
0,0
0,7
0,0
0,7
0,1
0,3
0,3
0,7
0,3
0,12
0,7
0,9
0,7
0,14
0,13
0,6
0,3
0,7
0,3
0,4
0,0
0,7
0,0
0,6
0,6
0,0
0,1
0,1
0,12
0,9
0,6
0,7
0,7
0,15
0,12
0,0
0,2
0,3
0,6
0,1
0,1
0,3
0,2
0,18
0,8
0,1
0,2
0,1
0,9
0,0
0,1
0,0
0,2
0,1
0,1
0,3
0,34
0,4
0,3
0,3
0,6
0,3
0,17
0,7
0,0
0,2
0,20
0,1
0,0
0,3
0,3
0,13
0,3
0,2
0,1
0,4
0,10
0,0
0,0
0,10
0,2
0,9
0,7
0,7
0,3
0,0
0,12
0,35
0,2
0,2
0,1
0,0
0,0
0,2
0,6
0,5
0,0
0,12
0,0
0,3
0,3
0,2
0,3
0,7
0,4
0,6
0,12
0,6
0,0
0,7
0,0
0,2
0,7
0,12
0,0
0,9
0,1
0,0
0,7
0,12
0,13
0,2
0,2
0,9
0,7
0,10
0,0
0,0
0,1
0,7
0,9
0,11
0,2
0,2
0,1
0,7
0,10
0,8
0,7
0,0
0,10
0,3
0,7
0,1
0,0
0,3
0,7
0,2
0,1
0,0
0,1
0,1
0,9
0,1
0,6
0,2
0,0
0,3
0,7
0,8
0,0
0,2
0,7
0,17
0,2
0,1
0,0
0,14
0,3
0,7
0,5
0,1
0,4
0,1
0,3
0,2
0,1
0,9
0,7
0,4
0,3
0,6
0,12
0,8
0,1
0,0
0,1
0,1
0,7
0,3
0,10
0,3
0,0
0,0
0,0
0,2
0,2
0,9
0,1
0,1
0,17
0,4
0,11
0,0
0,6
0,0
0,2
0,3
0,2
0,2
0,2
0,0
0,13
0,2
0,1
0,7
0,12
0,1
0,14
0,10
0,0
0,7
0,3
0,1
0,7
0,0
0,14
0,1
0,2
0,32
0,2
0,2
0,14
0,1
0,1
0,6
0,12
0,9
0,3
0,1
0,3
0,15
0,19
0,4
0,7
0,3
0,7
0,1
0,0
0,1
0,0
0,7
0,2
0,0
0,3
0,9
0,0
0,2
0,2
0,2
0,3
0,1
0,7
0,2
0,8
0,7
0,3
0,1
0,10
0,13
0,15
0,6
0,9
0,1
0,7
0,4
0,8
0,0
0,0
0,4
0,3
0,1
0,3
0,7
0,1
0,7
0,0
0,23
0,6
0,2
0,12
0,3
0,12
0,10
0,2
0,3
0,1
0,10
0,4
0,15
0,3
0,9
0,9
0,18
0,6
0,7
0,1
0,1
0,3
0,15
0,7
0,3
0,3
0,8
0,1
0,1
0,3
0,8
0,4
0,7
0,0
0,2
0,12
0,1
0,2
0,3
0,2
0,11
0,7
0,12
0,1
0,7
0,7
0,6
0,7
0,14
0,0
0,2
0,10
0,0
0,12
0,1
0,2
0,7
0,0
0,22
0,11
0,6
0,2
0,9
0,3
0,9
0,3
0,0
0,2
0,6
0,1
0,0
0,1
0,0
0,1
0,0
0,7
0,21
0,3
0,7
0,0
0,2
0,3
0,7
0,1
0,10
0,3
0,10
0,2
0,3
0,1
0,11
0,2
0,7
0,12
0,7
0,7
0,1
0,6
0,0
0,0
0,0
0,7
0,0
0,1
0,4
0,7
0,7
0,7
0,3
0,8
0,4
0,0
0,3
0,3
0,7
0,14
0,10
0,1
0,1
0,7
0,1
0,7
0,0
0,17
0,2
0,13
0,2
0,0
0,2
0,7
0,9
0,1
0,2
0,7
0,3
0,7
0,3
0,6
0,6
0,3
0,1
0,3
0,8
0,3
0,0
0,1
0,7
0,7
0,6
0,1
0,10
0,3
0,12
0,3
0,10
0,0
0,2
0,2
0,7
0,4
0,1
0,2
0,3
0,2
0,1
0,6
0,1
0,0
0,8
0,7
0,1
0,0
0,2
0,0
0,2
0,12
0,2
0,1
0,21
0,2
0,1
0,3
0,0
0,4
0,2
0,0
0,9
0,7
0,4
0,3
0,1
0,23
0,7
0,8
0,7
0,3
0,0
0,9
0,15
0,9
0,0
0,1
0,1
0,0
0,2
0,2
0,6
0,9
0,3
0,6
0,32
0,1
0,3
0,6
0,4
0,32
0,9
0,0
0,9
0,7
0,10
0,2
0,7
0,3
0,14
0,7
0,2
0,2
0,0
0,1
0,6
0,3
0,0
0,7
0,1
0,2
0,4
0,0
0,0
0,2
0,7
0,9
0,1
0,10
0,7
0,15
0,1
0,1
0,4
0,6
0,2
0,9
0,0
0,12
0,1
0,4
0,4
0,0
0,8
0,7
0,1
0,2
0,4
0,4
0,0
0,2
0,3
0,12
0,1
0,4
0,1
0,13
0,3
0,7
0,3
0,0
0,9
0,2
0,6
0,9
0,9
0,7
0,8
0,1
0,7
0,7
0,1
0,8
0,7
0,12
0,1
0,3
0,3
0,2
0,3
0,1
0,3
0,1
0,10
0,2
0,6
0,0
0,7
0,0
0,7
0,8
0,7
0,12
0,10
0,2
0,2
0,7
0,0
0,8
0,3
0,36
0,1
0,6
0,13
0,0
0,2
0,7
0,1
0,8
0,3
0,0
0,2
0,4
0,9
0,1
0,1
0,9
0,8
0,10
0,23
0,3
0,3
0,7
0,9
0,1
0,7
0,4
0,3
0,3
0,2
0,10
0,12
0,8
0,7
0,7
0,2
0,0
0,0
0,7
0,6
0,12
0,9
0,6
0,6
0,3
0,9
0,2
0,13
0,1
0,3
0,2
0,14
0,1
0,2
0,1
0,1
0,0
0,2
0,2
0,4
0,1
0,1
0,1
0,0
0,1
0,3
0,3
0,3
0,10
0,3
0,15
0,2
0,4
0,10
0,2
0,0
0,9
0,2
0,3
0,8
0,4
0,35
0,7
0,10
0,10
0,7
0,7
0,3
0,7
0,15
0,13
0,2
0,3
0,1
0,9
0,3
0,2
0,3
0,0
0,2
0,1
0,9
0,7
0,9
0,1
0,3
0,0
0,2
0,2
0,1
0,7
0,7
0,12
0,4
0,2
0,2
0,2
0,2
0,12
0,9
0,7
0,9
0,3
0,25
0,15
0,0
0,0
0,0
0,1
0,1
0,3
0,7
0,1
0,7
0,3
0,3
0,3
0,12
0,2
0,2
0,2
0,14
0,9
0,0
0,2
0,4
0,1
0,2
0,8
0,8
0,8
0,7
0,6
0,3
0,10
0,0
0,0
0,1
0,6
0,15
0,7
0,1
0,0
0,1
0,0
0,7
0,2
0,1
0,6
0,0
0,0
0,3
0,1
0,4
0,10
0,1
0,17
0,3
0,6
0,4
0,4
0,1
0,8
0,20
0,1
0,2
0,3
0,7
0,0
0,0
0,2
0,0
0,7
0,7
0,2
0,0
0,3
0,0
0,0
0,10
0,2
0,4
0,0
0,3
0,3
0,22
0,1
0,7
0,0
0,3
0,7
0,2
0,9
0,0
0,8
0,7
0,6
0,0
0,8
0,3
0,11
0,12
0,1
0,6
0,3
0,12
0,1
0,7
0,3
0,3
0,7
0,0
0,9
0,11
0,3
0,10
0,0
0,2
0,0
0,1
0,3
0,6
0,1
0,7
0,1
0,7
0,2
0,7
0,14
0,2
0,1
0,2
0,17
0,7
0,3
0,7
0,7
0,1
0,7
0,10
0,0
0,1
0,0
0,0
0,1
0,3
0,1
0,7
0,7
0,1
0,3
0,2
0,2
0,1
0,1
0,3
0,21
0,2
0,3
0,12
0,2
0,2
0,8
0,1
0,3
0,2
0,3
0,10
0,1
0,2
0,1
0,2
0,3
0,2
0,3
0,4
0,2
0,7
0,1
0,7
0,9
0,0
0,10
0,7
0,10
0,1
0,3
0,9
0,0
0,0
0,2
0,7
0,1
0,2
0,2
0,2
0,1
0,2
0,2
0,9
0,1
0,8
0,6
0,14
0,12
0,12
0,3
0,4
0,4
0,9
0,7
0,1
0,3
0,4
0,3
0,23
0,1
0,0
0,23
0,0
0,2
0,1
0,14
0,2
0,0
0,0
0,5
0,0
0,24
0,3
0,6
0,1
0,8
0,13
0,2
0,1
0,8
0,10
0,0
0,6
0,2
0,3
0,12
0,6
0,4
0,7
0,15
0,12
0,1
0,1
0,3
0,0
0,3
0,13
0,6
0,0
0,1
0,0
0,1
0,0
0,22
0,9
0,2
0,3
0,4
0,7
0,4
0,8
0,32
0,7
0,10
0,10
0,7
0,0
0,7
0,14
0,0
0,3
0,7
0,8
0,7
0,6
0,0
0,10
0,0
0,10
0,3
0,0
0,1
0,10
0,2
0,2
0,3
0,2
0,9
0,2
0,15
0,6
0,2
0,1
0,12
0,10
0,4
0,0
0,0
0,13
0,14
0,32
0,3
0,4
0,12
0,3
0,1
0,2
0,9
0,0
0,4
0,3
0,1
0,2
0,1
0,3
0,1
0,4
0,2
0,2
0,2
0,7
0,1
0,0
0,7
0,1
0,2
0,0
0,4
0,4
0,2
0,3
0,6
0,0
0,0
0,12
0,7
0,2
0,2
0,0
0,9
0,0
0,4
0,3
0,2
0,7
0,2
0,0
0,8
0,1
0,1
0,1
0,0
0,3
0,1
0,12
0,16
0,8
0,3
0,7
0,7
0,7
0,0
0,1
0,3
0,2
0,6
0,1
0,7
0,2
0,4
0,7
0,3
0,2
0,7
0,8
0,2
0,1
0,12
0,1
0,0
0,9
0,4
0,1
0,25
0,3
0,0
0,1
0,1
0,9
0,0
0,1
0,6
0,2
0,21
0,1
0,0
0,0
0,0
0,2
0,0
0,1
0,1
0,0
0,2
0,1
0,7
0,4
0,14
0,9
0,7
0,0
0,12
0,1
0,26
0,3
0,1
0,3
0,3
0,0
0,1
0,0
0,10
0,4
0,2
0,1
0,1
0,6
0,3
0,3
0,7
0,2
0,2
0,0
0,7
0,0
0,3
0,2
0,37
0,0
0,11
0,2
0,7
0,8
0,15
0,0
0,1
0,20
0,7
0,1
0,1
0,0
0,6
0,7
0,6
0,0
0,3
0,2
0,3
0,0
0,2
0,3
0,16
0,0
0,2
0,9
0,12
0,0
0,4
0,7
0,3
0,2
0,3
0,11
0,9
0,13
0,8
0,7
0,8
0,1
0,0
0,5
0,32
0,7
0,7
0,3
0,1
0,2
0,20
0,2
0,3
0,2
0,3
0,3
0,7
0,1
0,7
0,6
0,2
0,9
0,1
0,6
0,1
0,0
0,2
0,2
0,7
0,1
0,3
0,2
0,12
0,12
0,4
0,2
0,14
0,12
0,6
0,3
0,7
0,7
0,7
0,1
0,9
0,0
0,3
0,2
0,9
0,14
0,17
0,0
0,6
0,0
0,20
0,7
0,0
0,12
0,3
0,7
0,12
0,1
0,1
0,0
0,2
0,3
0,0
0,9
0,7
0,1
0,15
0,9
0,9
0,17
0,0
0,6
0,1
0,3
0,2
0,12
0,13
0,7
0,2
0,15
0,4
0,3
0,11
0,7
0,4
0,13
0,7
0,0
0,2
0,2
0,1
0,9
0,12
0,2
0,0
0,19
0,0
0,9
0,12
0,3
0,8
0,1
0,0
0,8
0,7
0,8
0,4
0,6
0,8
0,0
0,9
0,0
0,1
0,7
0,3
0,11
0,1
0,0
0,9
0,8
0,0
0,11
0,3
0,2
0,9
0,3
0,0
0,7
0,1
0,9
0,2
0,1
0,16
0,10
0,2
0,17
0,0
0,15
0,2
0,13
0,1
0,3
0,3
0,13
0,7
0,15
0,7
0,7
0,2
0,3
0,10
0,20
0,3
0,6
0,3
0,3
0,9
0,3
0,14
0,8
0,15
0,1
0,2
0,3
0,0
0,1
0,3
0,10
0,4
0,2
0,4
0,7
0,8
0,7
0,7
0,3
0,0
0,10
0,7
0,0
0,7
0,6
0,22
0,0
0,10
0,0
0,10
0,3
0,0
0,6
0,2
0,3
0,23
0,7
0,2
0,2
0,3
0,20
0,7
0,6
0,14
0,7
0,21
0,0
0,0
0,12
0,15
0,1
0,4
0,11
0,3
0,2
0,0
0,6
0,2
0,11
0,0
0,14
0,0
0,11
0,3
0,1
0,9
0,0
0,0
0,2
0,9
0,0
0,7
0,1
0,2
0,32
0,7
0,3
0,2
0,2
0,4
0,3
0,7
0,7
0,2
0,8
0,7
0,15
0,10
0,0
0,21
0,2
0,0
0,0
0,1
0,0
0,7
0,6
0,1
0,2
0,12
0,7
0,2
0,9
0,3
0,8
0,7
0,7
0,2
0,3
0,7
0,17
0,3
0,10
0,1
0,7
0,3
0,3
0,9
0,3
0,1
0,1
0,6
0,0
0,12
0,9
0,2
0,3
0,2
0,2
0,3
0,7
0,10
0,2
0,0
0,7
0,1
0,0
0,8
0,3
0,0
0,2
0,7
0,10
0,2
0,1
0,2
0,2
0,8
0,1
0,1
0,10
0,1
0,5
0,6
0,0
0,2
0,6
0,0
0,1
0,7
0,1
0,7
0,0
0,3
0,2
0,1
0,2
0,9
0,6
0,0
0,17
0,13
0,14
0,4
0,0
0,9
0,3
0,7
0,6
0,0
0,0
0,2
0,0
0,2
0,10
0,3
0,4
0,0
0,7
0,7
0,7
0,0
0,1
0,7
0,0
0,1
0,0
0,20
0,0
0,3
0,2
0,1
0,37
0,26
0,2
0,1
0,9
0,0
0,0
0,2
0,1
0,18
0,2
0,1
0,8
0,0
0,3
0,1
0,11
0,0
0,6
0,0
0,1
0,9
0,0
0,2
0,8
0,1
0,11
0,6
0,1
0,2
0,14
0,1
0,9
0,8
0,7
0,1
0,7
0,10
0,7
0,2
0,3
0,9
0,0
0,8
0,0
0,7
0,7
0,6
0,0
0,15
0,1
0,6
0,7
0,0
0,13
0,10
0,0
0,1
0,14
0,2
0,3
0,2
0,1
0,7
0,3
0,3
0,0
0,0
0,10
0,20
0,0
0,9
0,1
0,2
0,9
0,4
0,7
0,4
0,12
0,2
0,11
0,1
0,9
0,0
0,7
0,1
0,12
0,5
0,1
0,2
0,9
0,1
0,2
0,2
0,14
0,2
0,1
0,1
0,0
0,4
0,9
0,0
0,12
0,2
0,10
0,2
0,7
0,0
0,1
0,14
0,0
0,7
0,0
0,2
0,5
0,3
0,3
0,1
0,11
0,2
0,3
0,7
0,3
0,6
0,0
0,1
0,13
0,0
0,12
0,0
0,4
0,3
0,3
0,4
0,1
0,0
0,7
0,2
0,0
0,3
0,7
0,1
0,3
0,0
0,1
0,0
0,3
0,7
0,7
0,1
0,7
0,7
0,7
0,7
0,10
0,7
0,20
0,9
0,27
0,0
0,3
0,7
0,2
0,7
0,2
0,0
0,7
0,4
0,10
0,10
0,7
0,7
0,7
0,4
0,2
0,2
0,12
0,2
0,18
0,2
0,2
0,6
0,3
0,2
0,1
0,12
0,8
0,1
0,7
0,7
0,7
0,12
0,10
0,12
0,0
0,1
0,1
0,4
0,3
0,38
0,20
0,2
0,0
0,1
0,12
0,2
0,19
0,1
0,3
0,7
0,2
0,0
0,0
0,12
0,3
0,21
0,0
0,11
0,10
0,0
0,10
0,3
0,1
0,1
0,7
0,1
0,12
0,2
0,9
0,1
0,2
0,0
0,0
0,2
0,10
0,12
0,3
0,8
0,6
0,15
0,6
0,7
0,7
0,0
0,3
0,2
0,4
0,3
0,0
0,14
0,7
0,7
0,2
0,2
0,6
0,7
0,6
0,3
0,7
0,2
0,7
0,6
0,3
0,7
0,4
0,6
0,6
0,1
0,4
0,6
0,10
0,3
0,3
0,0
0,0
0,10
0,0
0,9
0,12
0,9
0,13
0,20
0,10
0,12
0,7
0,1
0,2
0,4
0,2
0,0
0,7
0,7
0,0
0,1
0,3
0,2
0,12
0,7
0,6
0,0
0,6
0,2
0,2
0,1
0,10
0,4
0,0
0,7
0,3
0,9
0,3
0,0
0,2
0,0
0,2
0,7
0,2
0,7
0,3
0,1
0,7
0,3
0,0
0,1
0,1
0,1
0,18
0,11
0,9
0,6
0,9
0,1
0,4
0,3
0,3
0,2
0,3
0,2
0,21
0,11
0,22
0,22
0,4
0,2
0,0
0,15
0,4
0,3
0,3
0,0
0,8
0,7
0,3
0,9
0,3
0,2
0,0
0,2
0,1
0,2
0,2
0,7
0,18
0,3
0,7
0,9
0,0
0,10
0,7
0,3
0,1
0,3
0,7
0,2
0,3
0,15
0,0
0,12
0,7
0,2
0,2
0,13
0,13
0,1
0,12
0,7
0,0
0,8
0,3
0,2
0,7
0,2
0,4
0,10
0,15
0,1
0,4
0,0
0,8
0,0
0,7
0,1
0,7
0,1
0,2
0,10
0,2
0,2
0,0
0,3
0,3
0,2
0,15
0,6
0,13
0,2
0,3
0,0
0,0
0,4
0,9
0,3
0,3
0,1
0,1
0,1
0,7
0,7
0,1
0,0
0,6
0,6
0,1
0,1
0,12
0,13
0,4
0,3
0,6
0,1
0,7
0,7
0,3
0,1
0,2
0,3
0,20
0,7
0,10
0,7
0,0
0,12
0,17
0,8
0,10
0,8
0,7
0,2
0,2
0,0
0,2
0,0
0,0
0,3
0,0
0,1
0,0
0,3
0,1
0,14
0,7
0,7
0,31
0,9
0,20
0,3
0,8
0,7
0,7
0,2
0,4
0,10
0,20
0,10
0,4
0,3
0,7
0,10
0,10
0,4
0,3
0,3
0,9
0,12
0,7
0,7
0,0
0,2
0,3
0,2
0,3
0,10
0,3
0,9
0,3
0,2
0,2
0,2
0,2
0,7
0,1
0,2
0,12
0,1
0,9
0,0
0,9
0,7
0,5
0,9
0,3
0,2
0,11
0,7
0,9
0,3
0,3
0,0
0,12
0,13
0,0
0,9
0,10
0,7
0,1
0,1
0,7
0,2
0,3
0,3
0,2
0,0
0,3
0,1
0,9
0,11
0,9
0,7
0,0
0,3
0,7
0,3
0,3
0,1
0,2
0,1
0,2
0,7
0,1
0,4
0,3
0,2
0,2
0,3
0,0
0,1
0,3
0,15
0,7
0,15
0,20
0,1
0,16
0,6
0,0
0,9
0,1
0,14
0,10
0,7
0,2
0,15
0,15
0,0
0,2
0,10
0,15
0,2
0,13
0,1
0,1
0,6
0,2
0,2
0,0
0,12
0,7
0,2
0,2
0,10
0,11
0,1
0,12
0,3
0,1
0,3
0,4
0,0
0,8
0,8
0,3
0,3
0,3
0,7
0,10
0,12
0,2
0,7
0,13
0,6
0,2
0,7
0,0
0,11
0,6
0,7
0,14
0,12
0,7
0,0
0,12
0,1
0,0
0,2
0,0
0,2
0,0
0,3
0,9
0,2
0,0
0,9
0,7
0,1
0,14
0,10
0,8
0,0
0,8
0,3
0,1
0,3
0,1
0,13
0,11
0,8
0,6
0,3
0,3
0,7
0,3
0,4
0,1
0,1
0,7
0,7
0,2
0,4
0,8
0,8
0,7
0,1
0,2
0,2
0,3
0,3
0,6
0,7
0,1
0,15
0,10
0,4
0,0
0,2
0,2
0,6
0,3
0,7
0,3
0,9
0,1
0,16
0,4
0,3
0,6
0,0
0,8
0,3
0,12
0,7
0,7
0,0
0,6
0,0
0,7
0,0
0,3
0,0
0,6
0,13
0,2
0,1
0,15
0,10
0,7
0,1
0,9
0,7
0,1
0,0
0,12
0,11
0,4
0,12
0,3
0,2
0,1
0,0
0,3
0,1
0,1
0,15
0,2
0,7
0,8
0,7
0,10
0,2
0,10
0,2
0,1
0,4
0,12
0,3
0,3
0,4
0,2
0,3
0,1
0,26
0,7
0,2
0,3
0,7
0,14
0,1
0,7
0,3
0,7
0,2
0,10
0,8
0,0
0,6
0,7
0,10
0,0
0,8
0,3
0,2
0,2
0,1
0,9
0,10
0,6
0,7
0,2
0,7
0,2
0,1
0,3
0,3
0,3
0,2
0,9
0,0
0,3
0,1
0,3
0,6
0,2
0,10
0,1
0,10
0,2
0,4
0,3
0,1
0,0
0,1
0,0
0,3
0,12
0,11
0,2
0,3
0,3
0,3
0,0
0,12
0,3
0,10
0,9
0,4
0,3
0,0
0,1
0,2
0,1
0,7
0,1
0,0
0,7
0,10
0,2
0,1
0,1
0,1
0,7
0,11
0,1
0,1
0,0
0,4
0,3
0,1
0,7
0,12
0,9
0,0
0,14
0,9
0,12
0,7
0,8
0,7
0,0
0,1
0,7
0,2
0,0
0,0
0,6
0,12
0,1
0,1
0,10
0,11
0,2
0,0
0,0
0,3
0,3
0,2
0,2
0,1
0,20
0,7
0,7
0,7
0,1
0,6
0,2
0,7
0,4
0,2
0,13
0,2
0,1
0,1
0,2
0,0
0,1
0,2
0,7
0,3
0,1
0,3
0,2
0,7
0,9
0,7
0,2
0,10
0,1
0,2
0,7
0,1
0,4
0,3
0,7
0,10
0,0
0,7
0,6
0,7
0,3
0,8
0,6
0,2
0,7
0,12
0,6
0,4
0,1
0,1
0,3
0,34
0,6
0,6
0,3
0,0
0,6
0,7
0,7
0,3
0,0
0,2
0,8
0,10
0,7
0,12
0,6
0,3
0,3
0,7
0,8
0,6
0,1
0,12
0,13
0,0
0,3
0,1
0,0
0,8
0,2
0,1
0,7
0,7
0,1
0,2
0,2
0,0
0,15
0,13
0,15
0,2
0,1
0,20
0,11
0,6
0,1
0,3
0,7
0,0
0,26
0,19
0,7
0,6
0,7
0,0
0,0
0,3
0,7
0,2
0,9
0,9
0,0
0,4
0,2
0,2
0,0
0,3
0,15
0,0
0,8
0,7
0,2
0,6
0,3
0,3
0,2
0,2
0,6
0,1
0,3
0,0
0,21
0,13
0,7
0,0
0,3
0,9
0,10
0,1
0,3
0,2
0,7
0,6
0,7
0,6
0,1
0,0
0,2
0,2
0,1
0,0
0,9
0,8
0,7
0,7
0,10
0,2
0,7
0,9
0,3
0,3
0,0
0,2
0,1
0,1
0,9
0,0
0,0
0,21
0,6
0,15
0,10
0,9
0,1
0,0
0,7
0,10
0,7
0,10
0,3
0,3
0,2
0,3
0,3
0,35
0,8
0,4
0,9
0,1
0,7
0,0
0,7
0,0
0,2
0,1
0,2
0,0
0,0
0,1
0,3
0,3
0,1
0,2
0,3
0,2
0,9
0,6
0,12
0,7
0,4
0,3
0,18
0,7
0,4
0,6
0,8
0,35
0,6
0,1
0,8
0,6
0,9
0,2
0,0
0,7
0,7
0,4
0,3
0,6
0,7
0,1
0,2
0,6
0,4
0,3
0,0
0,0
0,7
0,1
0,12
0,7
0,2
0,2
0,0
0,3
0,1
0,8
0,1
0,1
0,7
0,4
0,2
0,3
0,4
0,3
0,8
0,1
0,7
0,12
0,9
0,3
0,2
0,2
0,10
0,3
0,2
0,12
0,2
0,7
0,1
0,2
0,2
0,13
0,7
0,2
0,0
0,7
0,15
0,0
0,1
0,1
0,7
0,2
0,17
0,1
0,0
0,22
0,2
0,0
0,9
0,4
0,12
0,2
0,0
0,1
0,3
0,8
0,3
0,2
0,9
0,3
0,7
0,8
0,4
0,1
0,3
0,8
0,6
0,1
0,0
0,0
0,9
0,21
0,7
0,10
0,2
0,0
0,3
0,1
0,0
0,10
0,0
0,0
0,12
0,3
0,12
0,2
0,3
0,1
0,0
0,3
0,7
0,7
0,3
0,12
0,10
0,7
0,0
0,7
0,2
0,2
0,8
0,6
0,8
0,17
0,0
0,0
0,3
0,2
0,2
0,7
0,7
0,0
0,7
0,6
0,7
0,0
0,1
0,1
0,7
0,0
0,3
0,9
0,12
0,1
0,15
0,0
0,8
0,10
0,2
0,3
0,10
0,4
0,12
0,3
0,15
0,0
0,0
0,2
0,3
0,4
0,0
0,0
0,12
0,7
0,3
0,0
0,8
0,1
0,2
0,7
0,1
0,14
0,1
0,0
0,1
0,4
0,6
0,10
0,3
0,1
0,3
0,4
0,7
0,1
0,1
0,2
0,10
0,10
0,1
0,0
0,3
0,0
0,2
0,2
0,1
0,7
0,1
0,7
0,7
0,0
0,2
0,2
0,0
0,4
0,2
0,2
0,8
0,12
0,11
0,1
0,14
0,11
0,12
0,0
0,3
0,6
0,4
0,0
0,2
0,4
0,3
0,2
0,1
0,3
0,0
0,0
0,7
0,0
0,2
0,7
0,20
0,7
0,7
0,14
0,0
0,7
0,7
0,1
0,2
0,0
0,6
0,7
0,3
0,7
0,3
0,10
0,1
0,0
0,13
0,1
0,2
0,1
0,7
0,10
0,8
0,15
0,0
0,1
0,15
0,8
0,10
0,14
0,1
0,2
0,4
0,12
0,0
0,7
0,3
0,0
0,1
0,12
0,3
0,9
0,4
0,2
0,0
0,7
0,0
0,6
0,12
0,10
0,7
0,3
0,7
0,20
0,8
0,0
0,3
0,12
0,2
0,0
0,0
0,3
0,12
0,2
0,2
0,15
0,8
0,2
0,0
0,10
0,6
0,0
0,1
0,2
0,10
0,1
0,1
0,2
0,2
0,2
0,0
0,0
0,18
0,4
0,2
0,1
0,3
0,4
0,8
0,3
0,4
0,2
0,1
0,1
0,4
0,9
0,0
0,10
0,15
0,1
0,2
0,6
0,12
0,7
0,10
0,1
0,0
0,2
0,2
0,3
0,12
0,2
0,0
0,4
0,1
0,3
0,3
0,10
0,7
0,4
0,1
0,20
0,0
0,7
0,7
0,3
0,8
0,0
0,0
0,7
0,2
0,0
0,2
0,8
0,1
0,0
0,2
0,1
0,2
0,12
0,10
0,1
0,1
0,10
0,2
0,10
0,0
0,0
0,3
0,3
0,17
0,2
0,7
0,15
0,2
0,1
0,1
0,3
0,2
0,17
0,17
0,9
0,10
0,4
0,0
0,1
0,2
0,7
0,0
0,2
0,7
0,9
